epoch,step,train_loss,val_loss
0,49,0.015402874909341335,
0,99,0.014105161651968956,
0,149,0.012901314534246922,
0,199,0.011807258240878582,
0,249,0.011251416057348251,
0,299,0.011112703941762447,
0,349,0.011029671877622604,
0,399,0.010687120258808136,
0,449,0.01022848580032587,
0,499,0.009876747615635395,
0,549,0.009760752320289612,
0,599,0.01000000350177288,
0,649,0.009567121043801308,
0,699,0.009475499391555786,
0,749,0.00935633759945631,
0,799,0.009296742267906666,
0,849,0.009052208624780178,
0,899,0.009103021584451199,
0,949,0.009492781013250351,
0,999,0.009417500346899033,
0,1049,0.009714717045426369,
0,1099,0.009655836969614029,
0,1149,0.009414354339241982,
0,1199,0.00945094134658575,
0,1249,0.009423867799341679,
0,1299,0.009127299301326275,
0,1349,0.009339805692434311,
0,1399,0.0091112544760108,
0,1449,0.009009875357151031,
0,1499,0.008947096765041351,
0,1549,0.009096875786781311,
0,1599,0.008883516304194927,
0,1649,0.008756067603826523,
0,1699,0.008630901575088501,
0,1749,0.008745430037379265,
0,1799,0.008771073073148727,
0,1849,0.008642328903079033,
0,1899,0.008590521290898323,
0,1949,0.008530786260962486,
0,1999,0.008450140245258808,
0,2049,0.008371739648282528,
0,2099,0.00824953243136406,
0,2149,0.008499558083713055,
0,2199,0.00830330140888691,
0,2249,0.008275860920548439,
0,2299,0.008182021789252758,
0,2349,0.008338747546076775,
0,2399,0.008093524724245071,
0,2449,0.008063353598117828,
0,2499,0.008216395042836666,
0,2549,0.008022941648960114,
0,2599,0.007985757663846016,
0,2649,0.00787822250276804,
0,2699,0.007961567491292953,
0,2749,0.007875634357333183,
0,2799,0.008126748725771904,
0,2849,0.008012284524738789,
0,2899,0.00782095082104206,
0,2949,0.008082497864961624,
0,2999,0.007796318735927343,
0,3049,0.007832195609807968,
0,3099,0.007796117104589939,
0,3149,0.007635129615664482,
0,3199,0.007769337389618158,
0,3249,0.007638958282768726,
0,3299,0.007743791677057743,
0,3349,0.007629357744008303,
0,3399,0.00771040515974164,
0,3449,0.0075869690626859665,
